up down i
0 0 inf1
1 1 02
2.5 2.5 -603
4.333333333333333 4.333333333333334 -76.923076923076934
6.416666666666666 6.416666666666667 -84.415584415584435
8.699999999999999 8.699999999999999 -88.505747126436796
11.15 11.15 -91.031390134529157
13.74285714285714 13.74285714285714 -92.723492723492718
16.46071428571429 16.46071428571428 -93.924929485788659
19.28968253968254 19.28968253968253 -94.8158815058629810
22.21865079365079 22.21865079365079 -95.4992766694647211
25.23852813852814 25.23852813852813 -96.0378038112553612
28.34173881673881 28.34173881673881 -96.4716349746000813
31.52187257187256 31.52187257187256 -96.8275996366652414
34.77343489843491 34.77343489843489 -97.1242415282793315
38.09166389166392 38.09166389166391 -97.374753691925616
41.47239288489293 41.47239288489292 -97.588757410802117
44.91194540753371 44.9119454075337 -97.7734208773947418
48.40705348573005 48.40705348573004 -97.9341853552503419
51.95479314287376 51.95479314287375 -98.0752497709883120
55.55253280001747 55.55253280001745 -98.1999020573915321
59.19789150478022 59.19789150478021 -98.3107506457062522
62.88870475499753 62.88870475499751 -98.4098893372095523
66.62299626608436 66.62299626608437 -98.4990167719174524
70.39895444383787 70.39895444383788 -98.5795243581383725
74.21491262159138 74.2149126215914 -98.6525619115139126
78.06933233780643 78.06933233780644 -98.7190872906751927
81.96078909105852 81.96078909105853 -98.7799043773370928
85.88796013002489 85.88796013002491 -98.8356924550471429
89.84961392761195 89.84961392761197 -98.8870291631907930
93.84460105853235 93.84460105853236 -98.9344085981288731
97.87184625396887 97.87184625396888 -98.9782557106309532
101.9303414494054 101.9303414494054 -99.0189378493386633
106.0191396751449 106.019139675145 -99.0567740852603634
110.1373496655904 110.1373496655904 -99.0920427965297135
114.2841310846072 114.2841310846073 -99.1249878784486136
118.4586902814019 118.4586902814019 -99.1558238592504637
122.6602765052235 122.6602765052235 -99.1847401387869938
126.8881785185189 126.8881785185189 -99.2119045196522839
131.1417215574552 131.1417215574553 -99.2374661639912740
135.4202645963915 135.4202645963916 -99.2615580814434541
139.7231978792303 139.7231978792304 -99.2842992322117542
144.0499406858786 144.0499406858787 -99.3057963125576243
148.3999393064804 148.3999393064805 -99.3261452769635644
152.7726651998095 152.7726651998095 -99.3454326409164645
157.1676133153607 157.1676133153608 -99.3637366001140446
161.5843005613468 161.5843005613469 -99.3811279954018347
166.0222644030775 166.0222644030776 -99.3976711475443648
170.4810615781416 170.4810615781417 -99.413424581743649
174.960266916471 174.9602669164711 -99.4284416584267350
179.4594722548004 179.4594722548005 -99.4427711240674351
183.9782854362671 183.9782854362672 -99.4564575935531552
188.5163293869645 188.5163293869646 -99.4695419737633153
193.0732412621903 193.0732412621904 -99.4820618365017454
197.6486716559345 197.6486716559346 -99.4940517476683555
202.2422838678606 202.2422838678607 -99.505543558510656
206.8537532226439 206.8537532226439 -99.516566663925357
211.4827664370762 211.4827664370763 -99.5271482320534858
216.1290210308189 216.129021030819 -99.5373134088006959
220.792224777104 220.792224777104 -99.5470855004022660
